date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:49:15	46120/46120	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Apr%202023%2011:49:15%20GMT	https://wfgtitle.com/contact-us/	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/contact-us/index.html	(from )
05:49:15	67/67	---M--	200	added ('OK')	text/plain	date:Fri,%2007%20Apr%202023%2011:49:15%20GMT	https://wfgtitle.com/robots.txt		(from )
05:49:16	21356/21356	---M-Z	200	added ('OK')	application/javascript	etag:0x8DB35EEF1728B60	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/My%20Web%20Sites/escrow/contact%20us/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://wfgtitle.com/contact-us/)
05:49:17	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Oct%202022%2021:48:12%20GMT	https://wfgtitle.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://wfgtitle.com/contact-us/)
05:49:18	608988/608988	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2002:44:20%20GMT	https://wfgtitle.com/wp-content/cache/autoptimize/css/autoptimize_2a9c4606167421074dd44d8453a788b4.css	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-content/cache/autoptimize/css/autoptimize_2a9c4606167421074dd44d8453a788b4.css	(from https://wfgtitle.com/contact-us/)
05:49:18	1841/1841	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Sep%202020%2020:24:00%20GMT	https://wfgtitle.com/wp-content/uploads/2020/09/cropped-FAvicon_512-1-32x32.png	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-content/uploads/2020/09/cropped-FAvicon_512-1-32x32.png	(from https://wfgtitle.com/contact-us/)
05:49:19	18377/18377	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Sep%202020%2020:24:00%20GMT	https://wfgtitle.com/wp-content/uploads/2020/09/cropped-FAvicon_512-1-192x192.png	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-content/uploads/2020/09/cropped-FAvicon_512-1-192x192.png	(from https://wfgtitle.com/contact-us/)
05:49:20	21946/21946	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Sep%202020%2020:24:00%20GMT	https://wfgtitle.com/wp-content/uploads/2020/09/cropped-FAvicon_512-1-180x180.png	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-content/uploads/2020/09/cropped-FAvicon_512-1-180x180.png	(from https://wfgtitle.com/contact-us/)
05:49:21	109538/109538	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2007%20Apr%202023%2011:49:21%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/escrow/contact%20us/connect.facebook.net/en_US/fbevents.js	(from https://wfgtitle.com/contact-us/)
05:49:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2007%20Apr%202023%2011:49:22%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/escrow/contact%20us/www.googletagmanager.com/gtm.75445.delayed	(from https://wfgtitle.com/contact-us/)
05:49:22	9813/9813	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Nov%202022%2022:27:57%20GMT	https://wfgtitle.com/wp-content/plugins/autoptimize/classes/external/js/lazysizes.min.js?ao_version=3.1.2	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-content/plugins/autoptimize/classes/external/js/lazysizes.min7edb.js	(from https://wfgtitle.com/contact-us/)
05:49:23	6406/6406	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Oct%202022%2021:48:12%20GMT	https://wfgtitle.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.7	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-includes/js/dist/vendor/regenerator-runtime.minb36a.js	(from https://wfgtitle.com/contact-us/)
05:49:24	16470/16470	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Oct%202022%2021:48:12%20GMT	https://wfgtitle.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://wfgtitle.com/contact-us/)
05:49:24	1257/1257	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Oct%202022%2021:48:12%20GMT	https://wfgtitle.com/wp-includes/js/dist/dom-ready.min.js?ver=71883072590656bf22c74c7b887df3dd	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-includes/js/dist/dom-ready.min7354.js	(from https://wfgtitle.com/contact-us/)
05:49:24	190823/190823	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Oct%202020%2000:52:05%20GMT	https://wfgtitle.com/wp-content/uploads/2020/10/Head-contact-art-2.png	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-content/uploads/2020/10/Head-contact-art-2.png	(from https://wfgtitle.com/contact-us/)
05:49:25	5440/5440	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Oct%202022%2021:48:12%20GMT	https://wfgtitle.com/wp-includes/js/dist/hooks.min.js?ver=a7edae857aab69d69fa10d5aef23a5de	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-includes/js/dist/hooks.mine16b.js	(from https://wfgtitle.com/contact-us/)
05:49:26	9866/9866	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Oct%202022%2021:48:12%20GMT	https://wfgtitle.com/wp-includes/js/dist/i18n.min.js?ver=5f1269854226b4dd90450db411a12b79	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-includes/js/dist/i18n.min71a7.js	(from https://wfgtitle.com/contact-us/)
05:49:26	3009/3009	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Oct%202022%2021:48:12%20GMT	https://wfgtitle.com/wp-includes/js/dist/a11y.min.js?ver=0ac8327cc1c40dcfdf29716affd7ac63	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-includes/js/dist/a11y.minac6e.js	(from https://wfgtitle.com/contact-us/)
05:49:27	884/884	---MC-	200	added ('OK')	text/javascript	date:Fri,%2007%20Apr%202023%2011:49:28%20GMT	https://www.google.com/recaptcha/api.js?render=6LexwdoUAAAAAE4yRdLADbDHOqOTTl9-uwhzB_7D&ver=3.0	C:/My%20Web%20Sites/escrow/contact%20us/www.google.com/recaptcha/api3430.js	(from https://wfgtitle.com/contact-us/)
05:49:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Apr%202023%2011:49:29%20GMT	https://wfgtitle.com/contact-us/c	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/contact-us/c	(from https://connect.facebook.net/en_US/fbevents.js)
05:49:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Apr%202023%2011:49:30%20GMT	https://wfgtitle.com/contact-us/b	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/contact-us/b	(from https://connect.facebook.net/en_US/fbevents.js)
05:49:31	1567463/1567463	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2002:41:15%20GMT	https://wfgtitle.com/wp-content/cache/autoptimize/js/autoptimize_2c193db2284beadc7327e289e2b11efe.js	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/wp-content/cache/autoptimize/js/autoptimize_2c193db2284beadc7327e289e2b11efe.js	(from https://wfgtitle.com/contact-us/)
05:49:31	46364/46364	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202023%2011:49:31%20GMT	https://wfgtitle.com/contact-us/POST	C:/My%20Web%20Sites/escrow/contact%20us/wfgtitle.com/contact-us/POST	(from https://connect.facebook.net/en_US/fbevents.js)
